Time, AverageTime,MaxTime,MinTime
3.51416
0.00540781,0.00585858,0.00672603,0.00540781
0.010839,0.0112993,0.0141149,0.0106261
0.398279,0.371197,0.412991,0.336627
4.1008e-05,2.05305e-05,4.29153e-05,6.91414e-06
